Zeit(s)	Hoehe(m)	Distanz (m)	x-Versatz (m)	y-Versatz(m)	Groundspeed (kt)	Gleitzahl	Sinkgeschwindigkeit (m/s)	Breite	Laenge
0	4496	0	0	0	162	0	0	47,0798994826644	15,1528365346801
0	4496	37	-10	36	145	0	4,9	47,0801935869378	15,1527155739544
1	4494	71	-20	69	132	27	9,8	47,0804638337502	15,1526073525747
2	4489	103	-28	99	121	12	14,6	47,0807139550522	15,1525098567795
2	4481	131	-35	127	112	8	19,2	47,0809468184246	15,1524215263161
2	4472	158	-42	153	104	5	23,7	47,0811646730217	15,1523411252042
3	4460	183	-48	177	97	4	27,9	47,0813693330522	15,1522676472996
4	4446	207	-53	200	91	3	31,9	47,081562275463	15,1522002700169
4	4430	229	-59	221	86	3	35,6	47,0817447271424	15,1521383148412
4	4412	250	-63	241	81	2	38,9	47,0819177265065	15,1520812033036
5	4393	269	-68	261	77	2	42	47,0820821526603	15,1520284771369
6	4372	288	-72	279	73	2	44,8	47,0822387503321	15,1519797583043
6	4349	306	-75	296	69	2	47,2	47,082388115712	15,1519347551306
6	4326	323	-79	313	66	1	49,4	47,0825307150971	15,1518932267059
7	4301	339	-82	329	63	1	51,3	47,0826669550524	15,1518549791349
8	4275	354	-85	344	60	1	53	47,082797222395	15,1518197972316
8	4249	369	-87	359	57	1	54,4	47,0829219452505	15,1517874154793
8	4222	383	-90	372	55	1	55,7	47,0830415363806	15,1517575714172
9	4194	397	-92	386	52	1	56,7	47,0831563894363	15,1517300200517
10	4166	409	-94	399	50	1	57,6	47,083266872858	15,1517045637088
10	4137	422	-96	411	48	1	58,4	47,0833733380465	15,1516810281791
10	4108	434	-98	423	47	1	59	47,0834760829198	15,1516592478117
11	4078	445	-100	434	45	1	59,6	47,083575336047	15,151639093958
12	4048	456	-101	445	43	1	60	47,0836712380279	15,1516204444761
12	4018	467	-103	456	42	1	60,4	47,0837638953658	15,1516031924837
12	3988	478	-104	466	40	1	60,7	47,0838533923994	15,1515872333566
13	3958	488	-105	476	39	1	60,9	47,0839398280087	15,1515724933929
14	3927	497	-106	486	38	1	61,1	47,0840233519707	15,1515589310401
14	3897	506	-107	495	36	1	61,2	47,0841041445764	15,1515465520253
14	3866	515	-108	504	35	1	61,3	47,084182365845	15,1515353744751
15	3835	524	-109	513	34	1	61,4	47,0842581434135	15,1515254345143
16	3805	533	-110	521	33	1	61,4	47,0843315720016	15,151516786743
16	3774	541	-110	529	32	1	61,4	47,0844027249226	15,1515094703456
16	3743	549	-111	537	31	1	61,4	47,0844716756854	15,151503506269
17	3713	556	-111	545	30	0	61,4	47,0845385358634	15,1514988895599
18	3682	564	-112	552	29	0	61,4	47,0846034176367	15,1514955742931
18	3651	571	-112	560	28	0	61,3	47,0846664070463	15,1514935013454
18	3621	578	-112	567	27	0	61,3	47,0847275351582	15,1514926091637
19	3590	584	-112	573	26	0	61,2	47,0847868392394	15,1514928357923
20	3559	591	-112	580	26	0	61,2	47,0848444154595	15,1514941090545
20	3529	597	-112	586	25	0	61,1	47,0849003585077	15,1514963532689
20	3498	603	-112	593	24	0	61	47,0849547893038	15,1514995053899
21	3468	609	-112	599	24	0	61	47,0850078031979	15,1515035289736
22	3437	615	-111	605	23	0	60,9	47,0850594663724	15,1515083901711
22	3407	620	-111	610	22	0	60,8	47,0851098510672	15,1515140546736
22	3376	626	-111	616	22	0	60,8	47,0851590080124	15,1515204872179
23	3346	631	-110	621	21	0	60,7	47,0852069881145	15,1515276642669
24	3316	636	-110	627	21	0	60,6	47,0852538351921	15,1515355743628
24	3285	641	-109	632	20	0	60,5	47,0852995965878	15,1515442320708
24	3255	646	-108	637	20	0	60,4	47,0853443242346	15,1515536319234
25	3225	651	-108	642	20	0	60,3	47,0853880804319	15,1515637544212
26	3195	656	-107	647	19	0	60,2	47,0854309220585	15,1515745701089
26	3165	660	-106	652	19	0	60,1	47,0854728806733	15,1515860519084
26	3134	665	-105	656	18	0	60	47,0855139845167	15,1515981785174
27	3104	669	-104	661	18	0	60	47,085554257499	15,1516109365416
28	3074	673	-103	665	18	0	59,9	47,0855937233178	15,1516243113703
28	3045	678	-102	670	18	0	59,8	47,0856323987444	15,15163828989
28	3015	682	-101	674	17	0	59,7	47,0856702951467	15,1516528592988
29	2985	686	-100	678	17	0	59,6	47,085707440496	15,1516679914131
30	2955	690	-99	682	17	0	59,5	47,0857438481201	15,1516836533179
30	2925	693	-98	687	16	0	59,4	47,0857795194434	15,1516998194814
30	2896	697	-97	691	16	0	59,4	47,0858144543565	15,1517164670161
31	2866	701	-95	694	16	0	59,3	47,0858486470747	15,1517335881783
32	2836	705	-94	698	16	0	59,2	47,0858821041453	15,1517511750003
32	2807	708	-93	702	15	0	59,1	47,0859148566334	15,1517691963828
32	2777	711	-91	706	15	0	59	47,0859469651753	15,1517876046006
33	2748	715	-90	709	15	0	58,9	47,0859784876839	15,1518063655793
34	2718	718	-88	713	15	0	58,8	47,0860094774808	15,151825458671
34	2689	721	-87	716	15	0	58,8	47,0860399793563	15,1518448719014
34	2659	725	-86	720	14	0	58,7	47,0860700350797	15,1518645982439
35	2630	728	-84	723	14	0	58,6	47,0860996703067	15,1518846339339
36	2601	731	-82	726	14	0	58,5	47,0861289147443	15,1519049733306
36	2571	734	-81	729	14	0	58,4	47,0861577990252	15,1519256065005
36	2542	737	-79	733	14	0	58,4	47,0861863395376	15,1519465192814
37	2513	740	-78	736	14	0	58,3	47,0862145529136	15,1519676970557
38	2484	743	-76	739	14	0	58,2	47,0862424572214	15,1519891246061
38	2455	746	-75	742	14	0	58,1	47,0862700649413	15,1520107941368
38	2426	749	-73	745	14	0	58	47,0862973868233	15,1520327006691
39	2397	752	-71	748	13	0	58	47,0863244353531	15,1520548371917
40	2368	754	-70	751	13	0	57,9	47,0863512173909	15,1520771904945
40	2339	757	-68	754	13	0	57,8	47,0863777390439	15,1520997502223
40	2310	760	-66	757	13	0	57,7	47,0864040084868	15,1521225068141
41	2281	763	-64	760	13	0	57,6	47,0864300426082	15,1521454521696
42	2252	766	-63	763	13	0	57,6	47,0864558662139	15,1521685735815
42	2223	768	-61	766	13	0	57,5	47,0864815036269	15,1521918529723
42	2195	771	-59	769	13	0	57,4	47,0864877161138	15,1522318217932
43	2193	771	-56	769	6	2	4	47,0864939199928	15,1522717352393
44	2191	772	-53	770	6	2	4	47,0865001152647	15,1523115933152
44	2189	772	-50	771	6	2	4	47,0865063019303	15,1523513960258
44	2187	773	-47	771	6	2	4	47,0865124799904	15,1523911433759
45	2185	773	-44	772	6	2	4	47,0865186488159	15,1524308313191
46	2183	774	-41	773	6	2	4	47,086524802101	15,1524704192862
46	2181	774	-38	773	6	2	4	47,0865309398476	15,1525099072881
46	2179	775	-35	774	6	2	4	47,0865370620572	15,1525492953357
47	2177	776	-32	775	6	2	4	47,0865431687316	15,1525885834398
48	2175	776	-29	776	6	2	4	47,0865492598725	15,1526277716112
48	2173	777	-26	776	6	2	4	47,0865553354815	15,1526668598609
48	2171	777	-23	777	6	2	4	47,0865614018206	15,1527058884757
49	2169	778	-20	778	6	2	4	47,0865674648072	15,1527448955269
50	2167	778	-17	778	6	2	4	47,0865735244418	15,1527838810162
50	2165	779	-14	779	6	2	4	47,0865795807246	15,1528228449456
50	2163	780	-11	780	6	2	4	47,0865856336558	15,1528617873168
51	2161	780	-8	780	6	2	4	47,0865916832357	15,1529007081316
52	2159	781	-5	781	6	2	3,9	47,0865977294647	15,1529396073918
52	2157	782	-3	782	6	2	3,9	47,0866037723429	15,1529784850992
52	2155	782	0	782	6	2	3,9	47,0866098118708	15,1530173412555
53	2153	783	3	783	6	2	3,9	47,0866158480485	15,1530561758627
54	2151	784	6	784	6	2	3,9	47,0866218808763	15,1530949889225
54	2149	784	9	784	6	2	3,9	47,0866279103546	15,1531337804367
54	2147	785	12	785	6	2	3,9	47,0866339364835	15,153172550407
55	2145	786	15	786	6	2	3,9	47,0866399592635	15,1532112988353
56	2143	787	18	786	6	2	3,9	47,0866459786947	15,1532500257234
56	2141	787	21	787	6	2	3,9	47,0866519947774	15,153288731073
56	2139	788	24	788	6	2	3,9	47,086658010346	15,1533274331197
57	2137	789	27	788	6	2	3,9	47,0866640260435	15,1533661359992
58	2135	790	30	789	6	2	3,9	47,0866700418697	15,1534048397114
58	2133	790	33	790	6	2	3,9	47,0866760578246	15,1534435442563
58	2131	791	36	790	6	2	3,9	47,0866820739083	15,1534822496339
59	2130	792	39	791	6	2	3,9	47,0866880901207	15,153520955844
60	2128	793	42	792	6	2	3,9	47,0866941064618	15,1535596628866
60	2126	794	44	792	6	2	3,9	47,0867001229316	15,1535983707616
60	2124	794	47	793	6	2	3,9	47,0867061395301	15,153637079469
61	2122	795	50	794	6	2	3,9	47,0867121673305	15,1536758602497
62	2120	796	53	794	6	2	3,9	47,0867182113002	15,1537147450623
62	2118	797	56	795	6	2	3,9	47,0867242714375	15,1537537338965
62	2116	798	59	796	6	2	3,9	47,0867303477409	15,1537928267419
63	2114	799	62	796	6	2	3,9	47,0867364402087	15,1538320235882
64	2112	800	65	797	6	2	3,9	47,0867425488393	15,153871324425
64	2110	801	68	798	6	2	3,9	47,0867486736311	15,1539107292419
64	2108	802	71	798	6	2	3,9	47,0867548145825	15,1539502380287
65	2106	803	74	799	6	2	3,9	47,0867609716919	15,1539898507748
66	2104	803	77	800	6	2	3,9	47,0867671449576	15,1540295674701
66	2102	804	80	800	6	2	3,9	47,0867733343781	15,1540693881041
66	2100	805	83	801	6	2	3,9	47,0867795399517	15,1541093126666
67	2098	806	86	802	6	2	3,9	47,0867857616607	15,1541493410434
68	2096	807	89	803	6	2	3,9	47,0867919958107	15,1541894494662
68	2094	808	92	803	6	2	3,9	47,0867982424008	15,1542296379293
68	2092	810	95	804	6	2	3,9	47,0868234867529	15,1543263300883
69	2092	813	103	807	16	4	3,9	47,0868480107033	15,1544263455294
70	2090	817	110	809	16	4	3,9	47,0868725506424	15,1545264262228
70	2088	821	118	812	16	4	3,9	47,0868971065692	15,1546265721649
70	2086	825	125	815	16	4	3,9	47,0869216784829	15,154726783352
71	2084	828	133	818	16	4	3,9	47,0869462663825	15,1548270597805
72	2082	832	141	820	16	4	3,9	47,0869708702671	15,1549274014467
72	2080	836	148	823	16	4	3,9	47,0869954901358	15,1550278083468
72	2078	840	156	826	16	4	3,9	47,0870201259876	15,1551282804774
73	2076	845	163	829	16	4	3,9	47,0870447778217	15,1552288178346
74	2074	849	171	831	16	4	3,9	47,087069445637	15,1553294204149
74	2072	853	179	834	16	4	3,9	47,0870941398299	15,1554301306167
74	2070	857	186	837	16	4	3,9	47,0871188605345	15,1555309489884
75	2068	862	194	840	16	4	3,9	47,0871436077489	15,1556318755215
76	2066	866	202	842	16	4	3,9	47,0871683814709	15,1557329102073
76	2064	871	209	845	16	4	3,9	47,0871931816983	15,1558340530375
76	2062	875	217	848	16	4	3,9	47,087218008429	15,1559353040036
77	2060	880	225	851	16	4	3,9	47,087242861661	15,1560366630969
78	2058	884	232	853	16	4	3,9	47,0872677413921	15,1561381303091
78	2056	889	240	856	16	4	3,9	47,0872926476202	15,1562397056315
78	2054	894	248	859	16	4	3,9	47,0873175803431	15,1563413890559
79	2052	899	255	862	16	4	3,9	47,0873425395588	15,1564431805736
80	2050	904	263	865	16	4	3,9	47,0873675274924	15,1565450892599
80	2048	909	271	867	16	4	3,9	47,0873925495491	15,1566471371584
80	2046	914	278	870	16	4	3,9	47,0874176057257	15,1567493242573
81	2045	919	286	873	16	4	3,9	47,0874426960194	15,1568516505446
82	2043	924	294	876	16	4	3,9	47,0874678204272	15,1569541160084
82	2041	929	302	878	17	4	3,9	47,0874929789461	15,1570567206369
82	2039	934	310	881	17	4	3,9	47,0875181715732	15,157159464418
83	2037	939	317	884	17	4	3,9	47,0875433983054	15,1572623473398
84	2035	945	325	887	17	4	3,9	47,0875686543842	15,1573653499954
84	2033	950	333	890	17	4	3,9	47,0875939373266	15,1574684622585
84	2031	955	341	892	17	4	3,9	47,0876192471306	15,1575716841215
85	2029	961	349	895	17	4	3,9	47,0876445837945	15,1576750155771
86	2027	966	356	898	17	4	3,9	47,0876699473164	15,1577784566178
86	2025	972	364	901	17	4	3,9	47,0876953376944	15,1578820072364
86	2023	977	372	904	17	4	3,9	47,0877207549267	15,1579856674252
87	2021	983	380	907	17	4	3,9	47,0877461990114	15,158089437177
88	2019	989	388	909	17	4	3,9	47,0877716699467	15,1581933164843
88	2017	994	396	912	17	4	3,9	47,0877971677308	15,1582973053398
88	2015	1000	404	915	17	4	3,9	47,0878226923616	15,158401403736
89	2013	1006	411	918	17	4	3,9	47,0878482438375	15,1585056116656
90	2011	1012	419	921	17	4	3,9	47,0878738196836	15,1586099190355
90	2009	1018	427	924	17	4	3,9	47,0878994166353	15,1587143125316
90	2007	1024	435	927	17	4	3,9	47,0879250346911	15,1588187921479
91	2005	1030	443	929	17	4	3,9	47,0879506738494	15,1589233578781
92	2003	1036	451	932	17	4	3,9	47,0879763341086	15,1590280097161
92	2001	1042	459	935	17	4	3,9	47,0880020154673	15,1591327476557
92	1999	1048	467	938	17	4	3,9	47,0880277179239	15,1592375716908
93	1997	1054	475	941	17	4	3,9	47,0880534414768	15,1593424818152
94	1995	1060	483	944	17	4	3,9	47,0880791861246	15,1594474780227
94	1994	1066	491	947	17	4	3,9	47,0881049518656	15,1595525603073
94	1992	1072	499	949	17	4	3,9	47,0881307359727	15,1596577175465
95	1990	1079	507	952	17	4	3,9	47,0881565294798	15,1597629131731
96	1988	1085	515	955	17	4	3,9	47,0881823323863	15,159868147185
96	1986	1091	523	958	17	4	3,9	47,0882081446917	15,1599734195803
96	1984	1098	531	961	17	4	3,9	47,0882339663955	15,1600787303571
97	1982	1104	539	964	17	4	3,9	47,0882597974973	15,1601840795135
98	1980	1110	547	967	17	4	3,9	47,0882856379966	15,1602894670476
98	1978	1117	555	969	17	4	3,9	47,0883114878929	15,1603948929573
98	1976	1123	563	972	17	4	3,9	47,0883373471857	15,1605003572408
99	1974	1130	571	975	17	4	3,9	47,0883632158745	15,1606058598961
100	1972	1136	579	978	17	4	3,9	47,0883890939588	15,1607114009213
100	1970	1143	587	981	17	4	3,9	47,0884149814382	15,1608169803144
100	1968	1150	595	984	17	4	3,9	47,0884408783121	15,1609225980736
101	1966	1156	603	987	17	4	3,9	47,08846678458	15,1610282541969
102	1964	1163	611	990	17	4	3,9	47,0884926953794	15,1611339288523
102	1962	1170	619	993	17	4	3,9	47,088518604744	15,161239597708
102	1960	1176	627	995	17	4	3,9	47,0885445126745	15,161345260766
103	1958	1183	635	998	17	4	3,9	47,0885704191715	15,1614509180287
104	1956	1190	643	1001	17	4	3,9	47,0885963242353	15,1615565694983
104	1954	1196	651	1004	17	4	3,9	47,0886222278668	15,161662215177
104	1952	1203	659	1007	17	4	3,9	47,0886481300662	15,161767855067
105	1950	1210	667	1010	17	4	3,9	47,0886740308343	15,1618734891705
106	1948	1217	675	1013	17	4	3,9	47,0886999301715	15,1619791174898
106	1947	1224	683	1016	17	4	3,9	47,0887258280784	15,1620847400271
106	1945	1231	691	1018	17	4	3,9	47,0887517245556	15,1621903567846
107	1943	1237	699	1021	17	4	3,9	47,0887776182526	15,162295962255
108	1941	1244	707	1024	17	4	3,9	47,0888035086295	15,1624015542357
108	1939	1251	715	1027	17	4	3,9	47,0888293956869	15,1625071327294
108	1937	1258	723	1030	17	4	3,9	47,0888552794254	15,1626126977385
109	1935	1265	731	1033	17	4	3,9	47,0888811598457	15,1627182492657
110	1933	1272	739	1036	17	4	3,9	47,0889070369483	15,1628237873135
110	1931	1279	747	1039	17	4	3,9	47,0889329107339	15,1629293118844
110	1929	1286	755	1042	17	4	3,9	47,0889587812032	15,1630348229811
111	1927	1293	763	1044	17	4	3,9	47,0889846483568	15,1631403206059
112	1925	1300	771	1047	17	4	3,9	47,0890105121953	15,1632458047616
112	1923	1307	779	1050	17	4	3,9	47,0890363727193	15,1633512754507
112	1921	1314	787	1053	17	4	3,9	47,0890622299294	15,1634567326756
113	1919	1322	795	1056	17	4	3,9	47,0890880838264	15,163562176439
114	1917	1329	803	1059	17	4	3,9	47,0891139344107	15,1636676067434
114	1915	1336	811	1062	17	4	3,9	47,0891397816832	15,1637730235913
114	1913	1343	819	1065	17	4	3,9	47,0891656256443	15,1638784269853
115	1911	1350	827	1067	17	4	3,9	47,0891914662947	15,1639838169279
116	1909	1357	835	1070	17	4	3,9	47,0892173018669	15,1640891862106
116	1907	1364	843	1073	17	4	3,9	47,0892431284588	15,1641945189183
116	1905	1372	851	1076	17	4	3,9	47,089268946072	15,1642998150579
117	1904	1379	859	1079	17	4	3,9	47,0892947547082	15,164405074636
118	1902	1386	866	1082	17	4	3,9	47,089320554369	15,1645102976593
118	1900	1393	874	1085	17	4	3,9	47,089346345056	15,1646154841345
118	1898	1401	882	1088	17	4	3,9	47,089372126771	15,1647206340684
119	1896	1408	890	1090	17	4	3,9	47,0893978995155	15,1648257474675
120	1894	1415	898	1093	17	4	3,9	47,0894236632913	15,1649308243385
120	1892	1422	906	1096	17	4	3,9	47,0894494181	15,1650358646883
120	1890	1430	914	1099	17	4	3,9	47,0894751639432	15,1651408685233
121	1888	1437	922	1102	17	4	3,9	47,0895009010595	15,1652458368167
122	1886	1444	930	1105	17	4	3,9	47,0895266358725	15,1653507957666
122	1884	1452	938	1108	17	4	3,9	47,0895523683826	15,1654557453749
122	1882	1459	946	1111	17	4	3,9	47,0895780985902	15,1655606856436
123	1880	1466	954	1113	17	4	3,9	47,089603826496	15,1656656165747
124	1878	1474	962	1116	17	4	3,9	47,0896295521003	15,16577053817
124	1876	1481	970	1119	17	4	3,9	47,0896552754037	15,1658754504317
124	1874	1488	978	1122	17	4	3,9	47,0896809964066	15,1659803533615
125	1872	1496	986	1125	17	4	3,9	47,0897067151095	15,1660852469615
126	1870	1503	994	1128	17	4	3,9	47,0897324315129	15,1661901312336
126	1868	1511	1002	1131	17	4	3,9	47,0897581456173	15,1662950061798
126	1866	1518	1010	1133	17	4	3,9	47,0897838574231	15,1663998718019
127	1865	1525	1018	1136	17	4	3,9	47,0898095669308	15,1665047281021
128	1863	1533	1026	1139	17	4	3,9	47,089835274141	15,1666095750821
128	1861	1540	1034	1142	17	4	3,9	47,0898609790541	15,1667144127439
128	1859	1548	1042	1145	17	4	3,9	47,0898866816705	15,1668192410895
129	1857	1555	1049	1148	17	4	3,9	47,0899123819908	15,1669240601209
130	1855	1563	1057	1151	17	4	3,9	47,0899380800154	15,1670288698399
130	1853	1570	1065	1153	17	4	3,9	47,0899637786127	15,167133681945
130	1851	1578	1073	1156	17	4	3,9	47,08998947982	15,1672385047459
131	1849	1585	1081	1159	17	4	3,9	47,0900151836376	15,1673433382435
132	1847	1593	1089	1162	17	4	3,9	47,0900408900658	15,1674481824387
132	1845	1600	1097	1165	17	4	3,9	47,0900665991046	15,1675530373325
132	1843	1608	1105	1168	17	4	3,9	47,0900923107544	15,1676579029256
133	1841	1615	1113	1171	17	4	3,9	47,0901180250154	15,1677627792191
134	1839	1623	1121	1173	17	4	3,9	47,0901437418877	15,1678676662137
134	1837	1630	1129	1176	17	4	3,9	47,0901694613716	15,1679725639104
134	1835	1638	1137	1179	17	4	3,9	47,0901951834674	15,1680774723102
135	1833	1646	1145	1182	17	4	3,9	47,0902209081751	15,1681823914138
136	1831	1653	1153	1185	17	4	3,9	47,0902466374352	15,1682873291348
136	1830	1661	1161	1188	17	4	3,9	47,0902723717552	15,1683922875439
136	1828	1668	1169	1191	17	4	3,9	47,0902981111352	15,1684972666409
137	1826	1676	1177	1194	17	4	3,9	47,090323855575	15,1686022664254
138	1824	1684	1185	1196	17	4	3,9	47,0903496050746	15,1687072868973
138	1822	1691	1193	1199	17	4	3,9	47,090375359634	15,1688123280563
138	1820	1699	1201	1202	17	4	3,9	47,090401119253	15,1689173899022
139	1818	1707	1208	1205	17	4	3,9	47,0904268839317	15,1690224724348
140	1816	1714	1216	1208	17	4	3,9	47,0904526536698	15,1691275756538
140	1814	1722	1224	1211	17	4	3,9	47,0904784284675	15,169232699559
140	1812	1730	1232	1214	17	4	3,9	47,0905042083245	15,1693378441502
141	1810	1737	1240	1216	17	4	3,9	47,090529993241	15,1694430094272
142	1808	1745	1248	1219	17	4	3,9	47,0905557832166	15,1695481953896
142	1806	1753	1256	1222	17	4	3,9	47,0905815782516	15,1696534020373
142	1804	1760	1264	1225	17	4	3,9	47,0906073783456	15,1697586293701
143	1802	1768	1272	1228	17	4	3,9	47,0906331834988	15,1698638773876
144	1800	1776	1280	1231	17	4	3,9	47,0906589937109	15,1699691460897
144	1798	1784	1288	1234	17	4	3,9	47,090684808982	15,1700744354761
144	1796	1791	1296	1237	17	4	3,9	47,0907106262356	15,170179732999
145	1795	1799	1304	1239	17	4	3,9	47,0907364369137	15,1702850037544
146	1793	1807	1312	1242	17	4	3,9	47,0907622410171	15,1703902477457
146	1791	1815	1320	1245	17	4	3,9	47,0907880385468	15,1704954649763
146	1789	1822	1328	1248	17	4	3,9	47,0908138295035	15,1706006554495
147	1787	1830	1336	1251	17	4	3,9	47,090839613888	15,1707058191687
148	1785	1838	1344	1254	17	4	3,9	47,0908653917013	15,1708109561373
148	1783	1846	1352	1257	17	4	3,9	47,0908911629442	15,1709160663586
148	1781	1854	1360	1260	17	4	3,9	47,0909169276174	15,1710211498361
149	1779	1861	1368	1262	17	4	3,9	47,0909426857219	15,1711262065731
150	1777	1869	1376	1265	17	4	3,9	47,0909684372585	15,171231236573
150	1775	1877	1384	1268	17	4	3,9	47,0909941822279	15,1713362398391
150	1773	1885	1392	1271	17	4	3,9	47,0910199206311	15,1714412163749
151	1771	1893	1400	1274	17	4	3,9	47,0910456426454	15,1715461261178
152	1769	1900	1408	1277	17	4	3,9	47,0910713471163	15,1716509643586
152	1767	1908	1416	1280	17	4	3,9	47,0910970340459	15,1717557311063
152	1765	1916	1424	1282	17	4	3,9	47,0911227034365	15,1718604263698
153	1764	1924	1432	1285	17	4	3,9	47,0911483552903	15,1719650501581
154	1762	1932	1439	1288	17	4	3,9	47,0911739896096	15,1720696024802
154	1760	1940	1447	1291	17	4	3,9	47,0911996063965	15,1721740833451
154	1758	1947	1455	1294	17	4	3,9	47,0912252056533	15,1722784927617
155	1756	1955	1463	1297	17	4	3,9	47,0912507873823	15,172382830739
156	1754	1963	1471	1300	17	4	3,9	47,0912763515855	15,1724870972859
156	1752	1971	1479	1302	17	4	3,9	47,0913018982653	15,1725912924114
156	1750	1979	1487	1305	17	4	3,9	47,0913274274239	15,1726954161245
157	1748	1986	1495	1308	17	4	3,9	47,0913529390635	15,1727994684341
158	1746	1994	1503	1311	17	4	3,9	47,0913784331863	15,1729034493491
158	1744	2002	1511	1314	17	4	3,9	47,0914039097945	15,1730073588785
158	1742	2010	1518	1317	17	4	3,9	47,0914293688904	15,1731111970312
159	1740	2018	1526	1319	17	4	3,9	47,0914548104761	15,1732149638161
160	1738	2025	1534	1322	17	4	3,9	47,0914802345538	15,1733186592421
160	1736	2033	1542	1325	17	4	3,9	47,0915056411259	15,1734222833182
160	1734	2041	1550	1328	17	4	3,9	47,0915310264784	15,1735258208972
161	1733	2049	1558	1331	17	4	3,9	47,0915563810612	15,1736292330268
162	1731	2057	1566	1334	17	4	3,9	47,0915817048771	15,1737325197186
162	1729	2064	1573	1336	17	4	3,9	47,091606997929	15,1738356809845
162	1727	2072	1581	1339	17	4	3,9	47,09163226022	15,1739387168359
163	1725	2080	1589	1342	17	4	3,9	47,0916574917527	15,1740416272847
164	1723	2088	1597	1345	17	4	3,9	47,0916826925302	15,1741444123423
164	1721	2095	1605	1348	17	4	3,9	47,0917078625554	15,1742470720206
164	1719	2103	1612	1350	17	4	3,9	47,0917330018311	15,1743496063311
165	1717	2111	1620	1353	17	4	3,9	47,0917581103602	15,1744520152855
166	1715	2119	1628	1356	16	4	3,9	47,0917831881457	15,1745542988953
166	1713	2127	1636	1359	16	4	3,9	47,0918082351904	15,1746564571723
166	1711	2134	1643	1362	16	4	3,9	47,0918332514973	15,1747584901281
167	1709	2142	1651	1364	16	4	3,9	47,0918582370692	15,1748603977743
168	1707	2150	1659	1367	16	4	3,9	47,0918831823605	15,1749621411774
168	1705	2157	1667	1370	16	4	3,9	47,0919080855367	15,1750637128548
168	1704	2165	1674	1373	16	4	3,9	47,0919329466016	15,1751651128219
169	1702	2173	1682	1376	16	4	3,9	47,0919577655591	15,1752663410941
170	1700	2181	1690	1378	16	4	3,9	47,0919825424131	15,175367397687
170	1698	2188	1697	1381	16	4	3,9	47,0920072771673	15,1754682826159
170	1696	2196	1705	1384	16	4	3,9	47,0920319698257	15,1755689958963
171	1694	2204	1713	1387	16	4	3,9	47,092056620392	15,1756695375437
172	1692	2211	1720	1389	16	4	3,9	47,0920812288702	15,1757699075735
172	1690	2219	1728	1392	16	4	3,9	47,092105795264	15,1758701060011
172	1688	2226	1735	1395	16	4	3,9	47,0921303195773	15,175970132842
173	1686	2234	1743	1397	16	4	3,9	47,092154801814	15,1760699881116
174	1684	2242	1751	1400	16	4	3,9	47,0921792419778	15,1761696718252
174	1682	2249	1758	1403	16	4	3,9	47,0922036400727	15,1762691839984
174	1680	2257	1766	1406	16	4	3,9	47,0922279961023	15,1763685246465
175	1678	2264	1773	1408	16	4	3,9	47,0922523100707	15,1764676937848
176	1676	2272	1781	1411	16	4	3,9	47,0922765819816	15,1765666914289
176	1675	2280	1788	1414	16	4	3,9	47,0923008118388	15,1766655175941
176	1673	2287	1796	1416	16	4	3,9	47,0923249996462	15,1767641722958
177	1671	2295	1803	1419	16	4	3,9	47,0923491388985	15,1768626290004
178	1669	2302	1811	1422	16	4	3,9	47,092373226595	15,1769608754695
178	1667	2310	1818	1425	16	4	3,9	47,0923972627417	15,1770589117266
178	1665	2317	1826	1427	16	4	3,9	47,0924212473445	15,1771567377956
179	1663	2325	1833	1430	16	4	3,9	47,0924451804093	15,1772543537001
180	1661	2332	1840	1433	16	4	3,9	47,0924690619419	15,1773517594639
180	1659	2340	1848	1435	16	4	3,9	47,0924928919482	15,1774489551107
180	1657	2347	1855	1438	16	4	3,9	47,0925166704342	15,1775459406641
181	1655	2355	1862	1440	16	4	3,9	47,0925403974056	15,1776427161479
182	1653	2362	1870	1443	16	4	3,9	47,0925640728683	15,1777392815857
182	1651	2369	1877	1446	16	4	3,9	47,0925876968283	15,1778356370012
182	1649	2377	1884	1448	16	4	3,9	47,0926112692914	15,1779317824181
183	1648	2384	1892	1451	15	4	3,9	47,0926347902634	15,1780277178599
184	1646	2391	1899	1454	15	4	3,9	47,0926582597502	15,1781234433504
184	1644	2399	1906	1456	15	4	3,9	47,0926816725797	15,1782189377934
184	1642	2406	1913	1459	15	4	3,9	47,0927050263794	15,1783141915119
185	1640	2413	1921	1461	15	4	3,9	47,0927283211561	15,1784092045338
186	1638	2421	1928	1464	15	4	3,9	47,0927515569169	15,1785039768873
186	1636	2428	1935	1467	15	4	3,9	47,0927747336688	15,1785985086004
186	1634	2435	1942	1469	15	4	3,9	47,0927978514186	15,1786927997011
187	1632	2443	1949	1472	15	4	3,9	47,0928209101733	15,1787868502175
188	1630	2450	1956	1474	15	4	3,9	47,0928439099399	15,1788806601774
188	1628	2457	1964	1477	15	4	3,9	47,0928668507253	15,1789742296091
188	1626	2464	1971	1479	15	4	3,9	47,0928897325364	15,1790675585403
189	1624	2471	1978	1482	15	4	3,9	47,0929125553801	15,1791606469991
190	1622	2479	1985	1485	15	4	3,8	47,0929353192635	15,1792534950134
190	1621	2486	1992	1487	15	4	3,8	47,0929580241934	15,1793461026113
190	1619	2493	1999	1490	15	4	3,8	47,0929806701767	15,1794384698205
191	1617	2500	2006	1492	15	4	3,8	47,0930032572204	15,1795305966691
